state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,2,5039877,10.952648249153699,16.502670317436035,0.0,0.2910123930934558,56.326612732810744,45.89653676071856
2,Alaska,AK,3,732673,57.05137216739255,23.807151543535987,0.0,1.3421176068086764,64.3216004957191,55.78477711066192
3,Arizona,AZ,3,7276316,29.905243257714478,40.055591711127285,0.0,1.0971669363086118,66.42046607101726,56.44235352065523
4,Arkansas,AR,3,3025891,14.342882807080626,25.40455970536565,0.8592510437421573,0.5012297755162584,61.898297063575654,50.58936359571445
5,California,CA,2,39237836,48.636729099943224,19.77500929023128,0.2217247658611958,0.15121459127698414,82.12311198813309,65.89493620392317
6,Colorado,CO,3,5812069,62.335805029155715,29.7189471474911,0.6882230751217854,0.590724806146199,72.90789218090839,64.91775992335947
7,Connecticut,CT,3,3605597,172.20449207163196,57.28791732884814,1.1093863235408727,0.1386732904426091,86.14847971084954,73.24961719238173
8,Delaware,DE,3,1003384,66.87369940122626,70.233757535927,0.0,0.3986509651339866,73.36612901939836,61.61997799446672
9,District of Columbia,DC,3,1340100,280.79994030296245,66.94596352084599,0.07462129691814044,0.08705817973783052,45.44339974628759,35.174613834788445
10,Florida,FL,3,21781128,84.49516480505508,32.44814239451431,0.2020097398077822,0.11248269602933329,72.58078185849696,61.96302138254731
11,Georgia,GA,3,10799566,81.00325513080804,23.99435046080291,0.39816414844818765,0.1959955304376738,59.37963618167619,49.573177292494904
12,Hawaii,HI,3,1441553,57.923642072126384,41.007362000762875,0.0,0.16186247285624136,82.31116025564097,61.46627976911012
13,Idaho,ID,2,1900923,27.723374381813468,17.344957460890615,0.0,0.2981007998044459,48.682561050605415,43.24562331036028
14,Illinois,IL,3,12671469,244.98343483300948,80.00650911113779,1.0101433385505658,0.3261921197402869,71.36875763970222,63.758432428000255
15,Indiana,IN,4,6805985,160.16785226532238,63.370695057364955,1.528066841169941,0.7370963448592183,56.67923158808019,51.135125922258126
16,Iowa,IA,3,3193079,0.0,48.05930039850028,0.0,0.6785509117271031,63.34597421485657,57.72306291200437
17,Kansas,KS,3,2934582,87.26966907041616,54.0403077118698,0.2385348236989118,0.19877901974909318,67.8414506733838,56.01721130982198
18,Kentucky,KY,3,4509394,116.40144995092469,49.87366373397401,1.729722441640717,0.34003090733108116,61.27304467074733,53.28742620405313
19,Louisiana,LA,3,4624047,63.49416431104615,20.075179043070158,0.21626077762617896,0.14417385175078598,57.10592907035763,50.128750853959744
20,Maine,ME,3,1372247,0.0,66.66854748869139,0.0,0.8987691963132974,82.88573412803963,73.55148162102012
21,Maryland,MD,3,6165129,462.9424623556133,66.13463747937332,0.0,0.0,77.69788758678042,68.42396971742197
22,Massachusetts,MA,3,6984723,203.47263592271304,78.58170303552892,0.5154105610201006,0.39610256078396616,87.94597867374269,72.93272761138846
23,Michigan,MI,3,10050811,151.09228499073356,62.52658189899871,1.6118102310350875,1.0927808047861347,62.40104405505188,55.94051067122842
24,Minnesota,MN,3,5707390,59.23898664713643,55.664673344558544,0.7884514638039454,0.5635967870894869,69.95274547560268,64.14217356795314
25,Mississippi,MS,2,2949965,48.61074622919255,19.554711423936993,0.33898707272798156,0.12994504454572625,55.70710160968011,48.46304956160497
26,Missouri,MO,3,6168187,41.50328127211448,48.78488374530242,0.0,0.4350278831256791,61.38364482140376,52.365208772042735
27,Montana,MT,3,1104271,14.760869388039712,13.156708297665544,0.09055748090821908,0.7093669337810495,59.493276559829965,51.868517782319735
28,Nebraska,NE,3,1963692,72.66923733457182,39.146377625120735,0.0,0.29705948454917236,64.66879734703814,58.355383634500726
29,Nevada,NV,3,3143991,67.2711849365981,25.62257425582416,1.0496213252518853,0.4081860709312887,67.09876077889535,54.7761746137314
30,New Hampshire,NH,3,1388992,260.76464083306456,88.23459232100893,0.5039625858176289,0.5759572409344331,92.59426980140995,64.95328986776022
31,New Jersey,NJ,3,9267130,76.56092015543108,71.04989046539451,0.17265323784170505,0.22480890343972013,78.82978872639102,66.9521739740351
32,New Mexico,NM,3,2115877,146.70039893623306,51.690825398370784,1.7486838790723658,0.732556760151937,78.86200379322617,65.04328937835233
33,New York,NY,3,19835913,103.04037933620701,85.2818247964113,0.2520680545432923,0.31340461448216006,80.59979391924132,69.66322649227187
34,North Carolina,NC,3,10551162,97.01301145788493,32.876541397593385,0.43597093855634106,0.17533613833244152,73.90527223447047,55.79329556308584
35,North Dakota,ND,3,774948,14.194500792311226,41.95673221207837,0.0,0.7312318589978511,60.545997925022064,51.16291673763917
36,Ohio,OH,4,11780017,68.60771083776874,82.69815860925449,0.0,0.9295402544835037,59.440508447483566,54.36985362584791
37,Oklahoma,OK,2,3986639,83.52900776819772,19.769606857878454,0.0,0.2132121819908951,64.54522217838134,52.596836583397696
38,Oregon,OR,3,4246155,43.82788664097283,18.803566318906665,0.0706521547140884,0.4356882874035451,72.72523023770917,65.45752569088977
39,Pennsylvania,PA,3,12964056,32.82151820387077,56.614777262389396,0.15427270601114343,1.0027725890724322,83.81436334431139,60.08256212407599
