center_id,center_name,county_id,state_id,zip_code,risk_level
1,#AZA5,105,3.0,85043,
2,#PHX3,105,3.0,85043,
3,#PHX5,105,3.0,85338,
4,#PHX6,105,3.0,85043,
5,#PHX7 & PHX8,105,3.0,85043,
6,#PHX9,105,3.0,85353,
7,#SAZ1,105,3.0,85040,
8,#TFC1,105,3.0,85043,
9,#TUS1,105,3.0,85043,
10,#TUS2,108,3.0,85756,
11,#UAZ1,105,3.0,85034,
12,#DLR1,2895,4.0,72114,
13,#BFL1,202,5.0,93308,
14,#DPS3,243,5.0,91320,
15,#DCA2,220,5.0,91752,
16,#FAT1,197,5.0,93725,
17,#LAX9,223,5.0,92337,
18,#LGB1,206,5.0,90810,
19,#LGB3,220,5.0,91752,
20,#LGB4,223,5.0,92374,
21,#LGB6,220,5.0,92518,
22,#LGB7,223,5.0,92376,
23,#LGB9,220,5.0,92571,
24,#OAK3,237,5.0,95363,
25,#OAK4/OAK6,226,5.0,95304,
26,#ONT2/3/4/7,223,5.0,92408,
27,#ONT6/HLA3,220,5.0,92551,
28,#ONT9,223,5.0,92374,
29,#PCA1,226,5.0,95376,
30,#PCA2,223,5.0,92408,
31,#PSP1,220,5.0,92223,
32,#SCK1,226,5.0,95215,
33,#SCK3,226,5.0,95336,
34,#SJC7,226,5.0,95391,
35,#SMF1,221,5.0,95835,
36,#SMF3,226,5.0,95215,
37,#SNA4,223,5.0,92376,
38,#SNA6/SNA9/DCA2,220,5.0,92880,
39,#SNA7/SNA8/LGB5/KRB1,223,5.0,92408,
40,#XUSD,226,5.0,95206,
41,#DDV5,248,5.0,80011,
42,#DEN2,3049,6.0,80019,
43,#DEN3,253,6.0,80023,
44,#DEN5,248,6.0,80011,
45,#DCS3,2595,6.0,80925,
46,#BDL2,311,7.0,6095,
47,#BDL3,314,7.0,6473,
48,#PHL1,319,8.0,19720,
49,#PHL3,319,8.0,19720,
50,#PHL7/PHL9,319,8.0,19709,
51,#PHL8,319,8.0,19709,
52,#TPA2/#LAL1,3097,10.0,33811,
53,#TPA1,1771,10.0,33570,
54,#JAX2,2590,10.0,32218,
55,#JAX3,2590,10.0,32221,
56,#JAX5,2590,10.0,32219,
57,#MCO1,2887,10.0,32824,
58,#MCO5,3097,10.0,33897,
59,#MCO9,3097,10.0,33897,
60,#MIA1,364,10.0,33054,
61,#UFL4/SFL1,2887,10.0,32819,
62,#ATL2,2450,11.0,30087,
63,#ATL6,2274,11.0,30344,
64,#ATL7,2274,11.0,30291,
65,#ATL8,3064,11.0,30122,
66,#MGE1/MGE7,3075,11.0,30517,
67,#MGE3,3075,11.0,30549,
68,#PGA1,2274,11.0,30336,
69,#SAV3,399,11.0,31216,
70,#BOI2,566,13.0,83687,
71,#HMW1,695,14.0,60481,
72,#MDW4,695,14.0,60433,
73,#MDW5,695,14.0,60435,
74,#MDW6,695,14.0,60446,
75,#MDW7,695,14.0,60449,
76,#MDW8,2477,14.0,60085,
77,#MDW9,618,14.0,60502,
78,#PIL1,2477,14.0,60047,
79,#STL4,2877,14.0,62025,
80,#STL6/STL7/HLU1,2877,14.0,62025,
81,#ORD2,695,14.0,60410,
82,#ORD9,695,14.0,60410,
83,#DIL7,1331,14.0,60076,
84,#IND1,2996,15.0,46075,
85,#IND2/#IND3,730,15.0,46168,
86,#IND4/IND8,3018,15.0,46214,
87,#IND5,730,15.0,46168,
88,#IND7,3018,15.0,46241,
89,#IND9,3130,15.0,46143,
90,#PIN1,3018,15.0,46241,
91,#SDF8,3058,15.0,47130,
92,#XUSE,2996,15.0,46075,
93,#DIN1,3018,15.0,46278,
94,#DIN3,1307,15.0,46628,
95,#DSM5,3097,15.0,50009,
96,#MKC4,3130,17.0,66021,
97,#MKC6,994,17.0,66102,
98,#MCI5,3130,17.0,66219,
99,#CVG1,2996,18.0,41048,
100,#CVG2,2996,18.0,41048,
101,#CVG3,2996,18.0,41048,
102,#CVG8,2996,18.0,41042,
103,#IVSA,1053,18.0,41018,
104,#IVSB/#HCN1,2996,18.0,41048,
105,#LEX1/LEX3,3003,18.0,40511,
106,#LEX2,3003,18.0,40511,
107,#SDF1,3109,18.0,42718,
108,#SDF2,3076,18.0,40218,
109,#SDF4,1009,18.0,40165,
110,#SDF6,1009,18.0,40165,
111,#SDF7,1009,18.0,40165,
112,#SDF9,1009,18.0,40165,
113,#BWI2,1218,21.0,21224,
114,#HBA1,1206,21.0,21001,
115,#HSE1,3115,21.0,21742,
116,#MDT2,1201,21.0,21901,
117,#DCA1,1197,21.0,21219,
118,#BOS7,2313,22.0,2722,
119,#BOS5,1229,22.0,2072,
120,#DBO2,1229,22.0,2026,
121,#DET1,3043,23.0,48150,
122,#DET2,1282,23.0,48317,
123,#DTW1,3043,23.0,48174,
124,#DTW5,3043,23.0,48183,
125,#GRR1,2656,23.0,49316,
126,MSP1,2902,24.0,55379,
127,#MSP9,1342,24.0,55445,
128,#MEM2,3019,25.0,38611,
129,#MEM6,1419,25.0,38654,
130,#STL8,1576,26.0,63376,
131,#DLI1,1580,26.0,63042,
132,#RNO3,1763,29.0,89434,
133,#RNO4,1763,29.0,89506,
134,#LAS1,3058,29.0,89044,
135,#LAS2,3058,29.0,89030,
136,#LAS6,3058,29.0,89115,
137,#LAS7,3058,29.0,89115,
138,#BOS1,1771,30.0,3063,
139,#EWR1,3021,31.0,8691,
140,#EWR4,3021,31.0,8691,
141,#EWR6/EWR7,2880,31.0,7001,
142,#EWR8,1777,,7608,
143,#EWR9 & #LGA6,2880,31.0,7008,
144,#LGA7,2880,31.0,7008,
145,#LGA9,2880,31.0,8817,
146,#TEB3,2857,31.0,8085,
147,#TEB6,3021,31.0,8512,
148,#ACY1,2857,31.0,8066,
149,#ACY2,1778,31.0,8016,
150,#JFK8/DYY6,2897,33.0,10314,
151,#BUF5,2270,33.0,14086,
152,#SYR1,1863,33.0,13090,
153,#CLT3,1904,34.0,28027,
154,#CLT4,2879,34.0,28214,
155,#CTL5,1904,34.0,28027,
156,#CLT9,2879,34.0,28214,
157,#RDU1,1983,,27529,
158,#RDU5,1923,34.0,27703,
159,#GSO1,1925,34.0,27284,
160,#CMH1,2089,36.0,43062,
161,#CMH2,2965,36.0,43125,
162,#CMH3,2255,36.0,45050,
163,#CMH4,2877,36.0,43162,
164,#CMH6/HCM1,2109,36.0,43137,
165,#CLE2,2062,36.0,44128,
166,#CLE3,2062,36.0,44132,
167,#CLE5,2800,36.0,44087,
168,#POH1,2965,36.0,43207,
169,#AKC1,2800,36.0,44320,
170,#OKC1,2187,37.0,73159,
171,#DOK1,2187,37.0,73131,
172,#OKC5,2187,37.0,73179,
173,#TUL2,2204,37.0,74116,
174,#PDX5,3115,38.0,97124,
175,#PDX6/HPD1,2235,38.0,97203,
176,#PDX7,3018,38.0,97317,
177,#PDX9,2235,38.0,97060,
178,#AVP1,2285,39.0,18202,
179,#AVP2/AVP3,2280,39.0,18424,
180,#AVP6,2285,39.0,18640,
181,#AVP8,2285,39.0,18640,
182,#ABE1/ABE2,2284,39.0,18031,
183,#ABE3,2284,39.0,18031,
184,#ABE4,2884,39.0,18045,
185,#ABE5,2267,39.0,17112,
186,#DPP1,2247,39.0,15143,
187,#MDT1,2846,39.0,17015,
188,#PHL4,2846,39.0,17015,
189,#PHL5,2916,39.0,17339,
190,#PHL6,2846,39.0,17015,
191,#PPA1,2285,39.0,18707,
192,#PIT2,2247,39.0,15126,
193,#PIT5,2247,39.0,15205,
194,#XUSC,2846,39.0,17013,
195,#CAE1,2349,41.0,29172,
196,#GSP1,2359,41.0,29303,
197,#BNA1,2771,43.0,37090,
198,#BNA2,2771,43.0,37090,
199,#BNA3,2504,43.0,37127,
200,#BNA5,2448,43.0,37217,
201,#CHA1,2621,43.0,37421,
202,#CHA2,2435,43.0,37310,
203,#DNA1,2448,43.0,37207,
204,#MEM5,2734,43.0,38118,
205,#STN1,2448,43.0,37217,
206,#DAL2,2581,44.0,75038,
207,#DAL3,2581,44.0,75211,
208,#DAL9,2581,44.0,75172,
209,#DDA2,2581,44.0,75041,
210,#DDA8,2581,44.0,75227,
211,#DFW1 & DFW8,2744,44.0,75261,
212,#DFW6,2581,44.0,75019,
213,#DFW7,2744,44.0,76177,
214,#FTW2/HDA1,2744,44.0,75261,
215,#FTW3/FTW4,2744,44.0,76177,
216,#FTW6,2744,44.0,75261,
217,#FTW7/FTW9,2581,44.0,75019,
218,#FTW8,2581,44.0,75241,
219,#IAH1,2581,44.0,75241,
220,#PTX1,2581,44.0,75134,
221,#SAT1,2618,44.0,78154,
222,#SAT2,2629,44.0,78666,
223,#STX2,2581,44.0,75006,
224,#XUSB,2744,44.0,76155,
225,#HOU2,2625,44.0,77038,
226,#HOU3,2625,44.0,77493,
227,#SLC1,2796,45.0,84116,
228,#SLC2,2796,45.0,84081,
229,#SLC3/HSL1,2796,,84116,
230,#SLC4,2796,45.0,84104,
231,#BWI4,2855,47.0,22624,
232,#BWI1,2874,47.0,20166,
233,#DDC4,2874,47.0,20166,
234,#HDC1,2850,47.0,22151,
235,#KRB2,2893,47.0,23875,
236,#RIC1,2942,47.0,23803,
237,#RIC2,2842,47.0,23836,
238,#RIC3/#HRC1,2842,47.0,23234,
239,#RIC5,2863,47.0,23005,
240,#BFI1,3096,48.0,98390,
241,#BFI3,3096,48.0,98327,
242,#BFI4,2971,48.0,98032,
243,#BFI5,2971,48.0,98032,
244,#BFI6,2971,48.0,98032,
245,#BFI7,3096,48.0,98390,
246,#BFI8,2971,48.0,98198,
247,#DES7,3096,48.0,98390,
248,#DSE4,2985,48.0,98203,
249,#GEG1,2986,48.0,99224,
250,#PWA1,3096,48.0,98421,
251,#SEA6/#SEA8,2971,48.0,98005,
252,#MKE1,3078,50.0,53144,
253,#MKE2,3089,50.0,53154,
254,#DML1,3089,50.0,53215,
255,#MDW8,2477,14.0,60085,
